# Unfamiliar words — words you need to practice
# Format: word	TAB	meaning
# This file is generated by the init-wordlist skill.
abandon	v. 遗弃；离开；放弃；终止；陷入n. 放任，狂热
counterpart	n. 心爱的人；亲爱的n. (Darling)人名；(英)达林n.少量(搀加物),冲撞,破折号,锐气,精力,干劲vi.猛掷,冲撞vt.泼溅,使猛撞,搀和,使破灭,使沮丧,匆忙完成
country	n. 数据（datum 的复数）；资料n. （Data）（日）驮太（姓）；（印、葡）达塔（人名）
countryside	n. 日期；约会；年代；枣椰子vi. 过时；注明日期；始于（某一历史时期）vt. 确定…年代；和…约会n. (Date)人名；(日)伊达 (姓)；(英)戴特
county	n. 女儿；[遗][农学] 子代adj. 女儿的；子代的12311233
couple	n. 黎明；开端vt. 破晓；出现；被领悟n. (Dawn)人名；(西)道恩
courage	n. 一天；时期；白昼adv. 每天；经常在白天地adj. 日间的；逐日的
course	n. (Day)人名；(英、法、西)戴；(越)岱；(阿拉伯、土)达伊
courtesy	v. （强光等）使目眩；（美貌、技能等）使倾倒；使眼花缭乱n. 耀眼炫目；令人眼花缭乱的东西（或特性）；耀眼的光；灿烂，绚烂
cousin	adj. 无生命的；呆板的；废弃了的adv. 完全地n. 死者
cover	adj. 致命的；非常的；死一般的adv. 非常；如死一般地
cow	adj. 聋的n.交易,(政治上的)密约,待遇,份量,口买卖vi.处理,应付,做生意vt.分配,分给(out),发牌,给予adj.昂贵的,亲爱的int.[表示惊讶,怜悯等],Oh,～!
coward	n. 死；死亡；死神；毁灭n. (Death)人名；(英)迪阿思
crack	n. 辩论；（正式的）讨论v. （尤指正式）讨论，辩论；仔细考虑
cradle	n. 债务；借款；罪过
craft	n. 十年，十年期；十
crash	n. 欺骗；谎言；欺诈手段
crawl	v. 欺骗；行骗
crazy	n. 十二月
cream	adj. 正派的；得体的；相当好的
create	vt. 决定；解决；判决vi. 决定，下决心
creation	adj. 小数的；十进位的n. 小数
creative	n. 决定，决心；决议
creature	adj. 决定性的；果断的，坚定的
credit	n. 甲板；（船或公共汽车的）一层；露天平台；转盘装置vt. 装饰；装甲板；打扮n. (Deck)人名；（英、法、德）德克
creep	n. （纳税品等的）申报；宣布；公告；申诉书
crew	vt. 宣布，声明；断言，宣称vi. 声明，宣布
cricket	n. 下降；衰退；斜面vi. 下降；衰落；谢绝vt. 谢绝；婉拒
crime	vt. 装饰；布置；授勋给vi. 装饰；布置
criminal	v. 减少，减小，降低n. 减少，减小；减少量；减少过程
cripple	vt. 致力；献身；题献
crisis	vt. 推论，推断；演绎出
crisp	n. 行动；功绩；证书；[法] 契据vt. 立契转让
criterion	vt. 认为，视作；相信vi. 认为，持某种看法；作某种评价n. (Deem)人名；(英)迪姆adj.深的,纵深的,远离中心的,深奥的,难懂的,(指人)诡计多端的,低沉的(声音)adv.深入地,迟n.深渊,深处
critic	vt. 使加深；使强烈；使低沉vi. 变深；变低沉
critical	n. 鹿n. (Deer)人名；(英)迪尔
criticism	v. 击败；挫败（某人）；阻止达成（目的）；反对（动议或提议）；（使）无法理解；（使）无效n. 失败；战胜
criticize	n. 缺点，缺陷；不足之处vi. 变节；叛变
crop	n. 防御；防卫；答辩；防卫设备
cross	vt. 辩护；防护vi. 保卫；防守
crow	n. 缺陷，缺点；缺乏；不足的数额/dɪˈdʒenəreɪt; dɪˈdʒenərə
crown	vt. 定义；使明确；规定n. (Define)人名；(英)德法恩；(葡)德菲内
crucial	adj. 一定的；确切的
crude	adv. 清楚地，当然；明确地，肯定地
cruel	n. 定义；[物] 清晰度；解说
cruise	vt. 藐视；公然反抗；挑衅；使落空n. 挑战；对抗
crush	v. 使退化；恶化；堕落adj. 退化的；堕落的；退化的；简并的n. 堕落的人
crust	vt. 贬低；使……丢脸；使……降级；使……降解vi. 降级，降低；退化
cry	n. 程度，等级；度；学位；阶层
crystal	v. 延期；（使）耽搁；推迟n. 延迟的时间；延期；延时；延迟器n.(Delay) （美）德莱（人名）
cube	n. 代表，会议代表；委员会成员v. 授（权），把……委托给他人；委派……为代表，任命
cubic	n. 代表团；授权；委托
cucumber	vt. 删除
cue	adj. 故意的；深思熟虑的；从容的vt. 仔细考虑；商议
culminate	adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
cultivate	adj. 美味的；可口的
culture	n. 高兴vi. 高兴vt. 使高兴n. (Delight)人名；(英)迪莱特
cumulative	vt. 交付；发表；递送；释放；给予（打击）；给…接生vi. 实现；传送；履行；投递n. 投球
cunning	n. [贸易] 交付；分娩；递送
cup	n. （河流的）三角洲；德耳塔（希腊字母的第四个字）n. (Delta)人名；(英、罗、葡)德尔塔
cupboard	n. （坚决的或困难的）要求；（顾客的）需求v. 强烈要求；需要；逼问；查问，查询n. (Demand) （德）德曼德（人名）
curb	n. 民主，民主主义；民主政治
cure	adj. 民主的；民主政治的；大众的
curiosity	vt. 证明；展示；论证vi. 示威
curious	n. 否认；拒绝；节制；背弃
curl	vt. 表示，指示
currency	vt. 谴责；告发；公然抨击；通告废除
curriculum	n. 密度
curse	n. 牙科医生牙医诊所
curt	vt. 否定，否认；拒绝给予；拒绝…的要求vi. 否认；拒绝
curtain	vi. 离开；出发，起程；违反；去世adj. 逝世的
curve	n. 部；部门；系；科；局
cushion	n. 离开；出发；违背
custom	vi. 依赖，依靠；取决于；相信，信赖
customary	adj. 依靠的；从属的；取决于…的n. 依赖他人者；受赡养者
customer	vt. 描述；描画
cut	n. 存款；押金；订金；保证金；沉淀物vt. 使沉积；存放vi. 沉淀
cycle	vt. 压抑；使沮丧；使萧条
cylinder	n. 沮丧；忧愁；抑郁症；洼地；不景气；低气压区
cynical	vt. 使丧失，剥夺
daily	n. [海洋] 深度；深奥13271344
dairy	v. 向（某人）授权；委派（某人）n. 受权人
damage	vi. 下降；下去；下来；遗传；屈尊vt. 下去；沿…向下
damn	n. 后裔，子孙；（由过去类似物发展来的）派生物；（机器等）后继型产品adj. 下降的；祖传的
damp	n. 下降；血统；袭击vt. 除去…的气味；使…失去香味
danger	n. 描述，描写；类型；说明书n.沙漠,应得的赏罚,功过adj.沙漠的,不毛的,荒凉的vt.放弃,遗弃,逃跑vi.逃掉,逃亡,开小差
dangerous	vi. 应受，应得vt. 应受，应得
dare	n. 设计；构思；设计图样；装饰图案；打算v. 设计，构思；计划；制造，意欲n. (Design) （巴、印、俄）迪赛（人名）
daring	vt. 指定；指派；标出；把…定名为adj. 指定的；选定的
dark	adj. 可取的，值得拥有的，令人向往的；引起性欲的，性感的n. 称心如意的东西，合意的人，好的品质
darling	n. 欲望；要求，心愿；性欲vt. 想要；要求；希望得到……vi. 渴望
dash	n. （Desire）（刚（布）、英）德西雷（人名）
data	n. 办公桌；服务台；编辑部；（美）讲道台；乐谱架adj. 书桌的；桌上用的；伏案做的
daughter	v. 派遣；发送；迅速处理；杀死；匆匆吃下，匆匆离开（等于dispatch）n. 派遣；发送；急件；报道；杀死（等于 dispatch）
dawn	adj. 不顾一切的；令人绝望的；极度渴望的
daylight	prep. 即使，尽管n. （诗/文）侮辱，伤害；轻视，鄙视；憎恨vt.废语故意使烦恼，故意伤害；古蔑视，轻蔑
dead	adj. 注定的；命定的；去往…的v. 注定（destine的过去式和过去分词）
deadly	n. 命运，定数，天命n. (Destiny)人名；(英)德斯蒂尼，德斯蒂妮(女名)
deaf	vt. 破坏；消灭；毁坏
deal	n. 破坏，毁灭；摧毁
dear	adj. 破坏的；毁灭性的；有害的，消极的
death	vt. 分离；派遣；使超然
debate	n. 细节，琐事；具体信息；次要部分；分队，支队vt. 详述；选派
debt	vi. 画详图
decade	vt. 察觉；发现；探测
decay	n. 侦查，探测；发觉，发现；察觉
deceit	n. 警探；私人侦探；刑侦adj. 侦探的；侦察的
deceive	vi. 恶化，变坏vt. 恶化
December	n. 决心；果断；测定
decent	v. （使）下决心，（使）做出决定vt. 决定，确定；判定，判决；限定vi. 确定；决定；判决，终止；[主用于法律]了结，终止，结束
decide	vt. 开发；进步；使成长；使显影vi. 发育；生长；进化；显露
decimal	n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）；[摄]显影
decision	vi. 脱离；越轨vt. 使偏离1349
decisive	n. 装置；策略；图案；设备；终端
deck	n. 魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼vt. 虐待，折磨；（用扯碎机）扯碎；（替作家，律师等）做助手；抹辣味料烤制或煎煮
declaration	vt. 设计；想出；发明；图谋；遗赠给n. 遗赠n. (Devise) （美、法）德维兹（人名）
declare	v. 致力于，奉献于；把……用于，作……专用；降祸于，诅咒
decline	n. 珠，滴；露水；清新vt. （露水等）弄湿vi. 结露水n. (Dew)人名；(德)德夫；(英)迪尤
decorate	vt. 诊断；断定vi. 诊断；判断
decrease	n. 图表；图解vt. 用图解法表示
dedicate	n. 转盘；刻度盘；钟面vi. 拨号vt. 给…拨号打电话n. (Dial)人名；(英)戴尔
deduce	n. 方言，土话；同源语；行话；个人用语特征adj. 方言的
deed	n. 对话；会话
deem	n. 直径
deep	n. 钻石，金刚石；菱形；方块牌adj. 菱形的；金刚钻的n.（Diamond）（英、意、葡）戴蒙德；（法）迪亚蒙（人名）
deepen	n. 日志，日记；日记簿
deer	vt. 命令；口述；使听写vi. 口述；听写n. 命令；指示
defeat	n. 听写；口述；命令
defect	n. 字典；词典
defence	vi. 死亡；凋零；熄灭vt. 死，死于……n. 冲模，钢模；骰子n.(Die) （法、美、德）迭（人名）
defend	n. 饮食；食物；规定饮食vi. 节食vt. [医] 照规定饮食n. (Diet)人名；(法)迪耶
deficiency	vt. 使…相异；使…不同vi. 相异；意见分歧n. (Differ)人名；(法)迪费
deficit	n. 差异；不同；争执
define	adj. 不同的；个别的，与众不同的
definite	vi. 区分，区别vt. 区分，区别
definitely	adj. 困难的；不随和的；执拗的
definition	n. 困难，困境
defy	adj. 弥漫的；散开的vt. 扩散；传播；漫射vi. 传播；四散
degenerate	vt. 挖，掘；探究vi. 挖掘n. 戳，刺；挖苦n. (Dig)人名；(罗)迪格
degrade	vt. 消化；吸收；融会贯通vi. 消化n. 文摘；摘要
degree	adj. 数字的；手指的n. 数字；键
delay	n. 尊严；高贵
delegate	n. 困境；进退两难；两刀论法
delegation	adj. 勤勉的；用功的，费尽心血的n. (Diligent)人名；(法)迪利让
delete	v. 稀释，冲淡；削弱；变稀薄，变淡adj. 稀释的；淡的；（颜色、光线）浅的adj.暗淡的,模糊的,无光泽的,悲观的,怀疑的vt.使暗淡,使失去光泽n.美俚笨蛋、傻子
deliberate	n. 方面;[数] 维；尺寸；次元；容积adj. 规格的vt. 标出尺寸
delicate	vt. 使减少；使变小vi. 减少，缩小；变小
delicious	vt. 宴请vi. 进餐，用餐n. (Dine)（意、葡）迪内（人名）；（英）戴恩（人名）；（法）迪纳（人名）
delight	n. 晚餐，晚宴；宴会；正餐n. (Dinner)人名；(法)迪内1385
deliver	v. 浸，蘸; 下降，减少; 浏览; 给(动物)洗药浴; 将(汽车前灯)调为近光 n. 减少; 低洼处; 药浴液; 蘸酱; (短时的)游泳，泡水; 浏览
delivery	n. 毕业证书，学位证书；公文，文书；奖状vt. 发给…毕业文凭1419
delta	adj. 外交的；外交上的；老练的
demand	adj. 直接的；直系的；亲身的；恰好的vt. 管理；指挥；导演；指向
democracy	vi. 指导；指挥adv. 直接地；正好；按直系关系
democratic	n. 方向；指导；趋势；用法说明
demonstrate	adv. 直接地；立即；马上；正好地；坦率地conj. 一…就
denial	n. 主任，主管；导演；人事助理n. (Director)人名；(英)迪雷克托
denote	n. [计] 目录；工商名录；姓名地址录adj. 指导的；咨询的
denounce	n. 污垢，泥土；灰尘，尘土；下流话
dense	adj. 下流的，卑鄙的；肮脏的；恶劣的；暗淡的vt. 弄脏vi. 变脏
density	vt. 使失去能力；使残废；使无资格
dentist	n. 缺点；不利条件；损失
deny	vi. 不同意；不一致；争执；不适宜
depart	vi. 消失；失踪；不复存在vt. 使…不存在；使…消失
department	vt. 使失望
departure	n. 灾难，灾祸；不幸
depend	adj. 灾难性的；损失惨重的；悲伤的
dependent	vt. 抛弃；放弃；丢弃vi. 放弃n. 抛弃；被丢弃的东西或人
depict	vt. 觉察出；识别；了解；隐约看见vi. 辨别vt.卸下,放出,清偿(债务),履行(义务),解雇,开(炮),放(枪),射(箭)vi.卸货,流注n.卸货,流出,放电
deposit	n. 学科；纪律；训练；惩罚vt. 训练，训导；惩戒
depress	vt. 公开；揭露
depression	n. 折扣；贴现率vi. 贴现；打折扣出售商品vt. 打折扣；将…贴现；贬损；低估；忽视
deprive	vt. 阻止；使气馁
depth	vt. 发现；发觉vi. 发现
depute	n. 发现，发觉；被发现的事物
derive	n. 不符；矛盾；相差
descend	adj. 离散的，不连续的n. 分立元件；独立部件
descendant	vt. 歧视；区别；辨别vi. 区别；辨别
descent	vt. 讨论；论述，辩论
describe	n. 讨论，议论
description	n. 病，[医] 疾病；弊病vt. 传染；使…有病
desert	vt. 掩饰；假装；隐瞒n. 伪装；假装；用作伪装的东西
deserve	n. 厌恶，嫌恶vt. 使厌恶；使作呕
design	n. 盘；餐具；一盘食物；外貌有吸引力的人vt. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话vi. 成碟状；闲谈
designate	n. 耻辱，丢脸；拒付v. 使丢脸；不履行（诺言等）；不尊重；拒付，拒绝承兑；（古）强奸
desirable	n. [计] 磁盘，磁碟片；圆盘，盘状物；唱片
desire	vt. 不喜欢，厌恶n. 嫌恶，反感，不喜爱
desk	n. 沮丧，灰心；惊慌vt. 使沮丧；使惊慌
despair	vt. 解散；解雇；开除；让...离开；不予理会、不予考虑vi. 解散1460
desperate	vt. 分散；使散开；传播vi. 分散adj. 分散的
despise	vt. 取代；置换；转移；把…免职；排水
despite	n. 显示；炫耀vt. 显示；表现；陈列vi. [动] 作炫耀行为adj. 展览的；陈列用的
destination	vt. 使生气；触怒vi. 使生气；使不快
destined	n. 处理；支配；清理；安排
destiny	vt. 处理；处置；安排；使倾向于vi. 处理；安排；（能够）决定；击败；杀死n. 处置；性情
destroy	n. 处置；[心理] 性情；[军] 部署；倾向
destruction	n. 辩论；争吵；意见不同v. 辩论；对……进行质疑；争夺；抵抗（进攻）
destructive	v. 忽视，无视，不尊重n. 忽视，无视，不尊重
